Title,Scrapping Date,Article Date,Author,Link,Content
"Minat Investor Asing ke Indonesia Masih Minim, Kalah dari Malaysia dan Vietnam",2024-08-19T13:35:38.845Z,"Rabu, 17 Juli 2024 / 17:41 WIB",Reporter: Lailatul Anisah | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/minat-investor-asing-ke-indonesia-masih-minim-kalah-dari-malaysia-dan-vietnam,"KONTAN.CO.ID - JAKARTA. Kalangan pengusaha menilai minat investor asing untuk menanamkan modal di Indonesia masih terbilang minim. Ketua Umum Kamar Dagang dan Industri Indonesia (Kadin) DKI Jakarta, Diana Dewi, mengungkapkan bahwa Indonesia masih kalah dalam menarik investor luar negeri dibandingkan dengan Malaysia dan Vietnam. ""Penyebabnya banyak faktor, utamanya, birokrasi yang masih berbelit-belit,"" kata Diana pada Kontan.co.id, Rabu (17/7). Diana menjelaskan bahwa upaya pemerintah untuk memangkas birokrasi yang rumit ternyata gagal. Bahkan, UU Cipta Kerja juga tidak menjamin kemudahan berinvestasi bagi pengusaha karena di lapangan masih banyak pihak yang mempersulit perizinan. ""Baca Juga: Prospek Investasi di Kabupaten Tangerang Usai Akses Baru ke Tol Tangerang Dibangun Hal ini tampaknya sangat sulit dikontrol oleh pemerintah. Parahnya lagi, sudah diberi izin ke perusahaan A, tapi mendadak dicabut dan diberikan ke perusahaan B,"" jelas Diana. Selain itu, tingginya pungutan liar (pungli) juga menjadi kendala besar. Pungli ini dilakukan mulai dari pengurusan perizinan hingga pembangunan pabrik, dan melibatkan pejabat pemerintah serta organisasi masyarakat (ormas). Menurut Diana, pungli ini menyebabkan investasi dalam negeri memakan banyak biaya, yang bisa mencapai 30% dari total investasi yang dikeluarkan. Kepastian hukum juga menjadi masalah. Regulasi yang tumpang tindih serta penindakan yang lemah terhadap pelanggar hukum menambah kebingungan pelaku usaha. Hal ini membuat para pelaku usaha meragukan keseriusan aparat penegak hukum di Indonesia. Baca Juga: Daya Saing Indonesia Naik, Kepercayaan Investor Diklaim Bakal Meningkat ""Tentunya, para pelaku usaha akan lebih mencari negara yang regulasinya lebih ramah,"" urai Diana. Untuk itu, Diana mengimbau pemerintah untuk melakukan pembenahan terhadap masalah-masalah tersebut guna meningkatkan investasi, baik dari dalam maupun luar negeri. ""Sebutan Indonesia sebagai surga dan primadona para investor cuma lip service saja tanpa dibarengi keseriusan membenahi regulasi, menghentikan pungli, dan memberi kepastian hukum,"" tutupnya.     Cek Berita dan Artikel yang lain di Google News"
Investor Asing Banyak Memborong Saham-Saham Ini di Tengah Penurunan IHSG,2024-08-19T13:35:39.166Z,"Selasa, 16 Juli 2024 / 23:55 WIB",Reporter: Noverius Laoli | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/investor-asing-banyak-memborong-saham-saham-ini-di-tengah-penurunan-ihsg,"KONTAN.CO.ID - JAKARTA.  Pada perdagangan hari Selasa (17/7) Indeks Harga Saham Gabungan (IHSG) melanjutkan pelemahan. Berdasarkan data Bursa Efek Indonesia (BEI), IHSG tercatat melemah 0,75% ke level 7.224,29 saat perdagangan ditutup. Tercatat total volume perdagangan saham di BEI pada Selasa mencapai 12,02 miliar dengan nilai transaksi Rp 7,82 triliun. Baca Juga: IHSG Menguat, Investor Asing Banyak Memburu Saham-Saham Ini Selama Sepekan Adapun tercatat 270 saham yang melemah, sementara 273 saham yang menguat serta 247 saham yang tidak berubah atau stagnan. Di tengah penurunan IHSG, investor asing juga mencatatkan net sell atau jual bersih sebesar Rp 529,54 miliar di seluruh pasar.  Meskipun demikian, sejumlah saham ini banyak diborong asing saat IHSG melemah di hari kedua perdagangan pada pekan ini. Baca Juga: IHSG Turun Tajam, Asing Banyak Mengoleksi Saham-Saham Ini pada Jumat (26/4) Berikut 10 saham net buy terbesar asing pada Selasa: 1. PT Telkom Indonesia Tbk (TLKM) Rp 53,38 miliar 2. PT Indosat Tbk (ISAT) Rp 48,44 miliar 3. PT Amman Mineral Internasional Tbk (AMMN) Rp 44,97 miliar 4. PT Perusahaan Gas Negara Tbk (PGAS) Rp 28,97 miliar 5. PT Mitra Adiperkasa Tbk (MAPI) Rp 17,71 miliar 6. PT MD Pictures Tbk (FILM) Rp 16,08 miliar 7. PT Bank Tabungan Negara Tbk (BBTN) Rp 8,31 miliar 8. PT Chandra Asri Pacific Tbk (TPIA) Rp 6,92 miliar 9. PT Semen Indonesia Tbk (SMGR) Rp 5,38 miliar 10. PT Mayora Indah Tbk (MYOR) Rp 4,45 miliar    Cek Berita dan Artikel yang lain di Google News"
"IHSG Menguat, Investor Asing Banyak Memburu Saham-Saham Ini Selama Sepekan",2024-08-19T13:35:39.401Z,"Senin, 15 Juli 2024 / 04:45 WIB",Reporter: Noverius Laoli | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/ihsg-menguat-investor-asing-banyak-memburu-saham-saham-ini-selama-sepekan,"KONTAN.CO.ID -  JAKARTA. Indeks Harga Saham Gabungan (IHSG) menguat empat hari berturut-turut selama sepekan ini. Kenaikan IHSG ini sejalan dengan mulai masuknya investor asing di pasar domestik. Mengutip data Bursa Efek Indonesia (BEI) pada perdagangan Jumat (12/7), IHSG Kembali menguat 0,37% atau bertambah 27,17 poin ke level 7.327,58 saat penutupan perdagangan. Akumulasi kenaikan IHSG dalam sepekan mencapai 1,02%. Baca Juga: IHSG Turun Tajam, Asing Banyak Mengoleksi Saham-Saham Ini pada Jumat (26/4) IHSG kian mantap bergerak di zona hijau dengan level terendah 7.300 dan level tertinggi 7.354 pada perdagangan akhir pekan ini. Total volume perdagangan saham di BEI mencapai 15,62 miliar dengan nilai transaksi Rp 12,04 triliun.  Ada 329 saham yang naik, 230 saham yang turun dan 239 saham yang tidak berubah. Investor asing juga mencatat net buy jumbo sebesar Rp 1,24 triliun di seluruh pasar. Akumulasi net buy asing sepekan terakhir mencapai Rp 877,22 miliar. Baca Juga: IHSG Kembali Menguat, Asing Banyak Koleksi Saham Big Cap Ini, Rabu (3/7) Berikut ini adalah 10 saham net buy asing selama sepekan: 1. PT Bank Central Asia Tbk (BBCA) Rp 1,07 triliun 2. PT Telkom Indonesia Tbk (TLKM) Rp 393,52 miliar 3. PT Bank Mandiri Tbk (BMRI) Rp 165,55 miliar 4. PT Chandra Asri Pacific Tbk (TPIA) Rp 162,81 miliar 5. PT Semen Indonesia Tbk (SMGR) Rp 96,79 miliar 6. PT Mitra Keluarga Karyasehat Tbk (MIKA) Rp 82,57 miliar 7. PT Perusahaan Gas Negara Tbk (PGAS) Rp 80,03 miliar 8. PT Sumber Alfaria Trijaya Tbk (AMRT) Rp 71,1 miliar 9. PT United Tractors Tbk (UNTR) Rp 68,36 miliar 10. PT Adaro Energy Indonesia Tbk (ADRO) Rp 59,83 miliar    Cek Berita dan Artikel yang lain di Google News"
"SRBI Jadi Primadona Investor Asing, Bunga yang Lebih Besar Membuat SBN Kurang Dilirik",2024-08-19T13:35:39.631Z,,,https:////insight.kontan.co.id/news/srbi-jadi-primadona-investor-asing-bunga-yang-lebih-besar-membuat-sbn-kurang-dilirik,
SRBI Lebih Menarik Investor Asing Ketimbang SBN dan Saham,2024-08-19T13:35:39.858Z,"Selasa, 02 Juli 2024 / 18:34 WIB",Reporter: Akmalal Hamdhi | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/srbi-lebih-menarik-investor-asing-ketimbang-sbn-dan-saham,"KONTAN.CO.ID – JAKARTA. Investor asing banyak keluar dari instrumen Surat Berharga Negara (SBN) dan saham pada semester I-2024. Di sisi lain, instrumen Sekuritas Rupiah Bank Indonesia (SRBI) diburu sebagai instrumen jangka pendek yang aman. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto mencermati, keluarnya dana asing dari pasar modal Indonesia dari awal tahun lebih karena faktor eksternal. Khususnya dua bulan terakhir kondisi pelaku pasar agak nervous atau gugup, seiring kebijakan suku bunga tinggi masih bertahan. Di awal tahun ekspektasi pasar terhadap suku bunga The Fed bisa turun sebanyak dua kali di tahun 2024. Namun, sampai akhir semester pertama ini belum ada tanda-tanda menunjukkan The Fed turunkan suku bunga, bahkan berpotensi suku bunga bakal naik. “Belum turunnya suku bunga mengakibatkan market gugup karena memang pasar masih dalam kondisi suku bunga tinggi hampir 2 tahun. Dari situ, terjadi wait and see yang membatasi investor masuk ke pasar modal Indonesia,” kata Ramdhan saat dihubungi Kontan.co.id, Selasa (2/7). Baca Juga: Beralih ke Pasar AS, Investor Asing Jual SBN dan Saham Selama Semester I 2024 Ramdhan memaparkan, tekanan terhadap pasar khususnya pasar Surat Utang Negara (SUN) ataupun Surat Berharga Negara (SBN) tercermin dari kenaikan imbal hasil atau yield SUN 10 Tahun ke level atas 7%. Volume transaksi juga cukup menurun. Namun demikian, investor asing tidak sepenuhnya keluar dari pasar modal Indonesia. Sebagian investor asing banyak yang mengalihkan investasinya ke instrumen baru yakni Sekuritas Rupiah Bank Indonesia (SRBI). Berdasarkan data Bank Indonesia (BI), dari awal tahun hingga 27 Juni 2024, nonresiden atau asing tercatat jual neto Rp 36,46 triliun di pasar Surat Berharga Negara (SBN), jual neto Rp 9,78 triliun di pasar saham, dan beli neto Rp 123,21 triliun di Sekuritas Rupiah Bank Indonesia (SRBI). Ramdhan melihat, instrumen SRBI ini diburu karena investasi jangka pendek dan aman, sehingga cocok dalam kondisi ketidakstabilan seperti sekarang. Terutama perbankan memang mulai aktif masuk ke SRBI yang selama ini merupakan segmen investor penopang bagi SBN. “Tidak semua investor asing keluar tetapi ada yang beralih ke SRBI jangka pendek 1 tahun. Instrumen ini cocok dengan kondisi ketidakpastian global yang berekspektasi bunga turun tetapi ternyata belum mengarah ke sana,” tutur dia. Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 Di sisi lain, Ramdhan menambahkan, suku bunga tinggi AS artinya juga masih mendukung aset berbasis surat utang seperti US Treasury. Sehingga wajar apabila dana banyak keluar dari emerging markets seperti Indonesia menuju pasar Amerika. Oleh karena itu pula, tren aliran dana asing masih akan menunggu arah kebijakan suku bunga The Fed. Sebab, Bank Sentral AS itu berencana akan memangkas suku bunga sebesar 25 bps di akhir 2024. Ramdhan meyakini adanya pelonggaran kebijakan moneter ketat bakal menyegarkan kembali kondisi pasar terutama SBN. Dengan asumsi kondisi pasar keuangan lebih stabil, maka yield SUN 10 Tahun sebagai acuan diperkirakan akan melandai di level 6,7%-6,8% di akhir tahun ini. Adapun pekan lalu pasar mengalami penguatan karena aliran deras ke pasar surat utang, saham dan juga instrumen SRBI. Hanya saja, Ramdhan berpandangan bahwa sentimen ini jangka pendek yang terangkat situasi makroekonomi dan data tenaga kerja AS teranyar. Berdasarkan data transaksi 24–27 Juni 2024, nonresiden tercatat beli neto Rp 19,69 triliun terdiri dari beli neto Rp 8,30 triliun di pasar SBN, serta beli neto Rp 2,23 triliun di pasar saham dan Rp 9,16 triliun di Sekuritas Rupiah Bank Indonesia (SRBI). Cek Berita dan Artikel yang lain di Google News"
"Beralih ke Pasar AS, Investor Asing Jual SBN dan Saham Selama Semester I 2024",2024-08-19T13:35:40.223Z,"Selasa, 02 Juli 2024 / 17:24 WIB",Reporter: Akmalal Hamdhi | Editor: Putri Werdiningsih,https:////investasi.kontan.co.id/news/beralih-ke-pasar-as-investor-asing-jual-sbn-dan-saham-selama-semester-i-2024,"KONTAN.CO.ID – JAKARTA. Investor asing terpantau keluar dari pasar saham dan surat utang Indonesia selama semester I 2024. Tren aliran keluar (outflow) diproyeksi masih berlanjut di tengah kuatnya ekonomi Amerika Serikat (AS) akan menarik investasi dari Indonesia. Berdasarkan data Bank Indonesia (BI), dari awal tahun hingga 27 Juni 2024, nonresiden atau asing tercatat jual neto Rp36,46 triliun di pasar Surat Berharga Negara (SBN), jual neto Rp9,78 triliun di pasar Saham, dan beli neto Rp123,21 triliun di Sekuritas Rupiah Bank Indonesia (SRBI). Chief Dealer Fixed Income & Derivatives Bank Negara Indonesia (BNI) Fudji Rahardjo menyebutkan, aliran keluar modal asing yang terjadi pada semester pertama tahun ini disebabkan oleh berbagai faktor yang berasal dari faktor eksternal dan internal. Faktor eksternal berpengaruh secara global hampir ke seluruh negara, terutama pada pasar di negara berkembang seperti Indonesia. Faktor yang mempengaruhi diantaranya adalah kuatnya ekonomi Amerika Serikat (AS) dan sentimen hawkish dari Fed terhadap Fed Funds Rate dalam jangka waktu panjang. “Faktor ini berpengaruh terhadap lebih menariknya untuk berinvetasi ke aset berbasis USD karena dianggap lebih aman dengan imbal hasil yang terjaga dibandingkan berinvestasi di negara berkembang yang lebih berisiko,” kata Fudji kepada Kontan.co.id, Selasa (2/7). Baca Juga: Asing Banyak Menjual Saham Ini di Tengah Kenaikan IHSG Kemarin Selain itu, lanjut Fudji, fenomena ketegangan global yang sempat memanas dari konflik Israel-Hamas juga memberikan sentimen negatif untuk arus dana asing atau foreign flow di Indonesia. Pada kondisi penuh ketidakpastian seperti konflik geopolitik, investor cenderung melepas aset yang berisiko tinggi dan beralih ke aset safe haven seperti emas dan US Treasury. Hal ini turut memengaruhi aliran keluar modal asing dari Indonesia. Dari dalam negeri, Fudji melihat, sedikit banyak juga terdapat beberapa faktor yang menambah sentimen negatif dan memicu terjadinya aliran keluar modal asing di semester pertama tahun 2024. Salah satu faktor utama adalah fenomena pemilu Indonesia yang sempat menimbulkan sengketa dari para kontestannya. Selain itu, rencana kebijakan pemenang pemilu juga menjadi kekhawatiran investor karena memerlukan alokasi dana tambahan yang akhirnya memunculkan kebijakan memperbesar rasio utang luar negeri dan persentase produk domestik bruto. Faktor terakhir yang mungkin memengaruhi aliran keluar modal asing adalah defisit APBN yang beruntun pada dua laporan APBN terakhir. “Meskipun defisit APBN tersebut masih berada di rentang yang aman menurut Kementerian Keuangan, tetapi hal ini bisa menjadi salah satu penilaian yang memberikan sentimen negatif dari para investor,” ujar Fudji. Baca Juga: Yield US Treasury 10 Tahun Naik, Kurs Rupiah Dibuka Melemah Pagi Ini Fudji mengamati, memasuki awal semester kedua 2024, pergerakan dan sentimen dari aliran modal asing masih dirasa tidak jauh berbeda dengan semester pertama. Akan tetapi jika dilihat dengan jangka waktu yang lebih panjang, masih ada harapan untuk aliran masuk modal asing. Optimisme itu karena menilai The Fed telah mengkonfirmasi untuk melakukan pemotongan suku bunga di tahun ini minimal 25 bps dan rilis data ekonomi terutama tingkat inflasi Amerika telah menunjukkan pergerakan pendinginan. Menurut Fudji, selama Bank Indonesia (BI) dapat menjaga suku bunga BI Rate di level yang tinggi, maka hal ini dapat menjadi daya tarik bagi investor untuk berinvetasi di Indonesia karena memberikan imbal hasil yang bersaing. Bank Indonesia juga mengkonfirmasi bahwa secara fundamental, data ekonomi Indonesia memberikan optimisme bagi pergerakan mata uang Rupiah. Oleh karena itu, secara jangka panjang optimisme ini dapat menjadi sentimen postitif untuk dapat kembali menarik minat investor asing untuk kembali berinvestasi di Indonesia, baik dalam pasar saham maupun obligasi. Cek Berita dan Artikel yang lain di Google News"
"Nasib Saham Bukalapak (BUKA), Harga Saham Anjlok dan Dilepas Investor Asing",2024-08-19T13:35:40.556Z,,,https:////insight.kontan.co.id/news/nasib-saham-bukalapak-buka-harga-saham-anjlok-dan-dilepas-investor-asing,
"Proyek IKN Sudah Serap Dana APBN Rp 72,3 Triliun, Kapan Investor Asing Masuk?",2024-08-19T13:35:40.770Z,"Selasa, 25 Juni 2024 / 07:44 WIB",Reporter: Arif Ferdianto | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/proyek-ikn-sudah-serap-dana-apbn-rp-723-triliun-kapan-investor-asing-masuk,"KONTAN.CO.ID – JAKARTA. Mega proyek Ibu Kota Nusantara (IKN) sudah menyedot dana besar. Proyek ini telah menyerap dana Anggaran Pendapatan dan Belanja Negara (APBN) hingga Rp 72,3 triliun sepanjang tiga tahun belakangan. Anggaran IKN itu meningkat setiap tahunnya. Kementerian Keuangan (Kemenkeu) mencatat telah menggelontorkan anggaran IKN tahun 2022 sebesar Rp 5,5 triliun, lalu di 2023 sebesar Rp 27 triliun dan tahun 2024 sebesar Rp 39,8 triliun. Padahal, postur APBN untuk pembangunan IKN hanya didesain sebesar 20% dari total kebutuhan anggaran IKN Rp 466 triliun atau sekitar Rp 93,2 triliun. Artinya, bila mengacu pada rencana pos pendanaan IKN itu, gelontoran APBN sebesar Rp 72,3 triliun telah mencapai 77,57%. Menanggapi hal itu, Pengamat Tata Kota dari Universitas Trisakti, Nirwono Joga mewanti-wanti agar pemerintah khususnya Otorita Ibu Kota Nusantara (OIKN) dapat segera menggaet investor sebagai sumber pendanaan IKN baru. “Biaya dari APBN tinggal sedikit saja dan bisa habis digunakan pada 2025-2026. Tugas Otorita IKN-lah untuk bekerja keras mencari investor untuk mendanai pembangunan IKN. Dari sektor swasta (porsinya) 80% sebesar Rp 372,8 triliun,” ujanya kepada KONTAN, Senin (24/6). Baca Juga: Plt Kepala OIKN Ungkap Rata-Rata Calon Investor Asing IKN Minta Return di Atas 12% Upaya mendatangkan investor dipandang bakal menjadi tantangan besar, karena hingga saat ini investasi di IKN terkesan tak terlalu signifikan. Nirwono berpandangan, lambannya geliat investasi di IKN salah satunya didorong karena kota tersebut didesain sebagai pusat pemerintahan bukan kota komersial atau kota bisnis. Hal itulah yang kemudian menimbulkan kondisi wait and see dikalangan investor. Terlebih, hingga saat ini belum terlihat jelas berapa populasi masyarakat IKN ke depan. Sebagai siasatnya, Nirwono menilai pemerintah dapat melakukan pengembangan wilayah perkotaan di sekitar area mega proyek tersebut, tujuannya agar ekosistem investasi di sana dapat terdongkrak. “Otorita IKN dapat mulai memasarkan rencana pengembang wilayah perkotaan (WP), masih ada 8 WP di luar KIPP IKN yang bisa dikembangkan sebagai kota industri, kota riset dan pendidikan, kota bisnis, hingga kota wisata,” imbuhnya. Sebelumnya, Pelaksana Tugas (Plt) Kepala Otorita Ibu Kota Nusantara (OIKN) Basuki Hadimuljono mengatakan, pihaknya terus mendorong masuknya investasi asing di Ibu Kota Negara Nusantara (IKN), sebagaimana arahan Presiden Joko Widodo (Jokowi). Baca Juga: Otorita IKN-PLN Siapkan Infrastruktur Ketenagalistrikan untuk Acara 17 Agustus 2024 Basuki menjelaskan, Otoritas IKN tengah mempercepat proses masuknya investasi asing yang saat ini telah ada beberapa surat terkait minat investasi alias letter of intent (LOL) agar segera dilakukan groundbreaking di Juli 2024 mendatang. Dia bilang, para calon investor rata-rata mengincar imbal hasil investasi atau internal rate of return (IRR) yang cukup signifikan yakni di atas 12%. “Kalau IRR biasanya sama saja mau asing mau nasional kalau IRR di atas 12% pasti menarik,” ungkap dia. Cek Berita dan Artikel yang lain di Google News"
Investor Asing Incar Return Proyek IKN Sebesar 12%,2024-08-19T13:35:41.045Z,,,https:////insight.kontan.co.id/news/investor-asing-incar-return-proyek-ikn-sebesar-12,
"Yen Melemah, Pasar Saham Jepang Ditinggal Investor Asing",2024-08-19T13:35:41.258Z,"Minggu, 23 Juni 2024 / 22:31 WIB",Reporter: Avanty Nurdiana | Editor: Avanty Nurdiana,https:////internasional.kontan.co.id/news/yen-melemah-pasar-saham-jepang-ditinggal-investor-asing,"KONTAN.CO.ID - TOKYO. Reli saham di bursa saham Jepang yang terjadi di awal tahun 2024 ini mereda. Data menunjukkan investor asing kini mulai menjual sahamnya, di tengah lesunya ekonomi Negeri Sakura. Citigroup Inc, Abrdn Plc dan manajer investasi lainnya, pesimistis terhadap saham di negara ini, karena reformasi tata kelola perusahaan dan kebijakan moneter Bank of Japan (BoJ) masih belum pasti. Survei fund manager yang dilakukan Bank of America Corp menunjukkan, sepertiga responden yakin pasar Jepang sudah mencapai puncak. Investor asing yang membantu mendorong saham Jepang ke rekor tertinggi beberapa bulan lalu, kini menjadi penjual bersih selama empat minggu berturut-turut hingga 14 Juni. Baca Juga: Market Global: Wall Street Lawan Kenaikan Global, Imbal Hasil Obligasi AS Naik Menurut data Bursa Efek Tokyo seperti dikutip Bloomberg, aksi jual saham Jepang mencapai ¥ 250 miliar setara dengan US$ 1,6 miliar dalam sepekan yang berakhir 14 Juni. Ini menjadi rekor terpanjang sejak September 2023. Reli indeks bluechip Nikkei 225 Jepang telah terhenti sejak mencapai titik tertinggi sepanjang masa pada tanggal 22 Maret. Sejak saat itu, indeks itu turun 5,6%, sementara di periode yang sama, indeks MSCI AC Asia Pacific menghijau, meski naik tipis 1%. Investor menjadi waspada terhadap pelemahan yen yang tiada henti. Sebelumnya, investor menyambut baik pelemahan mata uang ini sebagai keuntungan bagi eksportir, namun tingkat penurunan yen baru-baru ini dinilai dapat merugikan perekonomian Jepang, termasuk dengan meningkatkan tekanan inflasi. Yen terdepresiasi pada hari Jumat (21/6) mendekati 160 per dolar AS. Merujuk data Bloomberg, yen Jumat ditutup di posisi 159,8, nilai terendah sejak tahun 1990. Ke depan, investor akan mencermati apakah BOJ akan melanjutkan kenaikan suku bunga kedua pada bulan Juli setelah menaikkan suku bunga untuk pertama kalinya sejak tahun 2007 pada Maret. Namun BOJ sepertinya belum menaikkan bunga dan baru pengurangan pembelian obligasi di Juli. Baca Juga: Saham Naik, Imbal Hasil AS Turun Setelah Data Penjualan Ritel"
